NUM_CPT,CODE_COMMUNE,CODE_SECTEUR,VILLE,CONSO_1,CONSO_0,PROFIL
ZZ88BA652831,2,4,ARCACHON,48,33,1 - SEGMENT P
ZZ71005279,2,4,ARCACHON,10,10,1 - SEGMENT P
ZZ77660042,2,4,ARCACHON,87,93,1 - SEGMENT P
ZZ94350276,2,4,ARCACHON,93,115,1 - SEGMENT P
ZZ745399070,2,4,ARCACHON,149,119,1 - SEGMENT P
ZZ745795070,2,4,ARCACHON,39,29,1 - SEGMENT P
ZZ93208412,2,4,ARCACHON,83,89,1 - SEGMENT P
ZZ80024680,2,4,ARCACHON,28,30,1 - SEGMENT P
ZZ92PA225472,2,4,ARCACHON,71,66,1 - SEGMENT P
2000AA655505,2,4,ARCACHON,96,1,1 - SEGMENT P
ZZ90BA010854,2,4,ARCACHON,21,26,1 - SEGMENT P
98331559,2,4,ARCACHON,20,20,1 - SEGMENT P
04XA302418,2,4,ARCACHON,14,10,1 - SEGMENT P
ZZ80127309,2,4,ARCACHON,44,40,1 - SEGMENT P
ZZ93PA290686,2,4,ARCACHON,109,111,1 - SEGMENT P
ZZ88BA777066,2,4,ARCACHON,74,76,1 - SEGMENT P
ZZ8705857,2,4,ARCACHON,110,46,1 - SEGMENT P
02AB171582,2,4,ARCACHON,117,93,1 - SEGMENT P
01AA152020,2,5,ARCACHON,103,119,1 - SEGMENT P
ZZ845269490,2,5,ARCACHON,27,28,1 - SEGMENT P
98AA049750,2,5,ARCACHON,33,30,1 - SEGMENT P
2001AA056056,2,5,ARCACHON,27,47,1 - SEGMENT P
ZZ77524889,2,5,ARCACHON,18,15,1 - SEGMENT P
ZZ88BA079154,2,5,ARCACHON,8,7,1 - SEGMENT P
ZZ93PA208473,2,5,ARCACHON,82,68,1 - SEGMENT P
ZZ93PA208510,2,5,ARCACHON,0,0,1 - SEGMENT P
ZZ77508623,2,5,ARCACHON,59,69,1 - SEGMENT P
ZZ77524960,2,5,ARCACHON,33,37,1 - SEGMENT P
ZZ89BA090429,2,5,ARCACHON,0,0,1 - SEGMENT P
ZZ80013673,2,5,ARCACHON,34,50,1 - SEGMENT P
ZZ91PA217686,2,5,ARCACHON,27,26,1 - SEGMENT P
ZZ77508624,2,5,ARCACHON,8,4,1 - SEGMENT P
ZZ87149875,2,5,ARCACHON,46,63,1 - SEGMENT P
ZZ81230214,2,5,ARCACHON,66,69,1 - SEGMENT P
ZZ96003064,2,5,ARCACHON,128,140,1 - SEGMENT P
ZZ91BB008375,2,5,ARCACHON,73,75,1 - SEGMENT P
ZZ796315610,2,5,ARCACHON,4,10,1 - SEGMENT P
ZZ80127409,2,5,ARCACHON,137,130,1 - SEGMENT P
ZZ88BA079147,2,5,ARCACHON,53,62,1 - SEGMENT P
ZZ90PA264716,2,5,ARCACHON,54,51,1 - SEGMENT P
ZZ96PA265621,2,6,ARCACHON,92,101,1 - SEGMENT P
ZZ8287275,2,6,ARCACHON,7,10,1 - SEGMENT P
ZZ88BA027544,2,6,ARCACHON,96,69,1 - SEGMENT P
ZZ845269448,2,6,ARCACHON,2,60,1 - SEGMENT P
ZZ845269452,2,6,ARCACHON,8,8,1 - SEGMENT P
ZZ84101160,2,6,ARCACHON,54,50,1 - SEGMENT P
02AA178124,2,6,ARCACHON,24,34,1 - SEGMENT P
ZZ72000549,2,6,ARCACHON,114,113,1 - SEGMENT P
ZZ86216183,2,6,ARCACHON,48,61,1 - SEGMENT P
ZZ700618870,2,6,ARCACHON,7,13,1 - SEGMENT P
ZZ7201000555,2,6,ARCACHON,24,23,1 - SEGMENT P
ZZ721507295,2,6,ARCACHON,54,48,1 - SEGMENT P
ZZ845269252,2,6,ARCACHON,116,130,1 - SEGMENT P
ZZ88BA027543,2,6,ARCACHON,71,69,1 - SEGMENT P
ZZ845269448A,2,6,ARCACHON,70,50,1 - SEGMENT P
ZZ845269447,2,6,ARCACHON,35,45,1 - SEGMENT P
ZZ91308333,2,6,ARCACHON,5,14,1 - SEGMENT P
ZZ83128412,2,6,ARCACHON,88,81,1 - SEGMENT P
ZZ700619060,2,6,ARCACHON,49,40,1 - SEGMENT P
ZZ700619390,2,6,ARCACHON,75,77,1 - SEGMENT P
ZZ91PA217691,2,6,ARCACHON,32,39,1 - SEGMENT P
ZZ88BA777021,2,6,ARCACHON,41,25,1 - SEGMENT P
ZZ89BA040598,2,6,ARCACHON,3,3,1 - SEGMENT P
ZZ84009183,3,6,LA TESTE,17,18,1 - SEGMENT P
ZZ89BA057264,2,6,ARCACHON,51,44,1 - SEGMENT P
ZZ88BA027545,2,6,ARCACHON,39,50,1 - SEGMENT P
ZZ86216182,2,6,ARCACHON,19,23,1 - SEGMENT P
ZZ95414122,2,6,ARCACHON,16,11,1 - SEGMENT P
ZZ792002653,2,7,ARCACHON,78,104,1 - SEGMENT P
ZZ730076330,2,7,ARCACHON,86,94,1 - SEGMENT P
ZZ88BA079076,2,7,ARCACHON,79,76,1 - SEGMENT P
05XA620558,2,7,ARCACHON,2,79,1 - SEGMENT P
03AA700706,2,7,ARCACHON,81,60,1 - SEGMENT P
2000AA203099,2,7,ARCACHON,29,26,1 - SEGMENT P
ZZ88BA027549,2,7,ARCACHON,40,54,1 - SEGMENT P
ZZ88BA748081,2,7,ARCACHON,18,4,1 - SEGMENT P
ZZ86216199,2,7,ARCACHON,51,33,1 - SEGMENT P
03AB569562,2,7,ARCACHON,65,94,1 - SEGMENT P
ZZ79047699,2,7,ARCACHON,119,117,1 - SEGMENT P
ZZ752639750,2,7,ARCACHON,58,75,1 - SEGMENT P
ZZ8528946,2,7,ARCACHON,10,8,1 - SEGMENT P
ZZ87241259,2,7,ARCACHON,49,70,1 - SEGMENT P
